community_area_number,community_name,total_population,us_citizen,foreign_born,naturalized_citizen,no_citizen,us_citizen_percent,foreign_born_percent,naturalized_citizen_percent,no_citizen_percent
1,Rogers Park,55643,41124,14519,5574,8945,0.739068706,0.260931294,0.100174326,0.160756969
2,West Ridge,78763,46591,32172,17406,14766,0.591534096,0.408465904,0.22099209,0.187473814
3,Uptown,59453,45193,14260,7862,6398,0.76014667,0.23985333,0.132238911,0.107614418
4,Lincoln Square,41350,32642,8708,4496,4212,0.789407497,0.210592503,0.108730351,0.101862152
5,North Center,36142,32941,3201,2176,1025,0.911432682,0.088567318,0.060206961,0.028360356
6,Lake View,101428,89194,12234,6537,5697,0.879382419,0.120617581,0.064449659,0.056167922
7,Lincoln Park,69568,60432,9136,4287,4849,0.868675253,0.131324747,0.06162316,0.069701587
8,Near North Side,98528,81855,16673,8179,8494,0.830779068,0.169220932,0.083011936,0.086208996
9,Edison Park,11002,10009,993,703,290,0.909743683,0.090256317,0.063897473,0.026358844
10,Norwood Park,38088,31656,6432,4473,1959,0.831127914,0.168872086,0.117438563,0.051433522
11,Jefferson Park,27194,20151,7043,4575,2468,0.741009046,0.258990954,0.16823564,0.090755314
12,Forest Glen,19928,16209,3719,3052,667,0.813378161,0.186621839,0.153151345,0.033470494
13,North Park,18806,11382,7424,4981,2443,0.605232373,0.394767627,0.264862278,0.129905349
14,Albany Park,49280,30753,18527,7420,11107,0.624046266,0.375953734,0.150568182,0.225385552
15,Portage Park,63919,43086,20833,11767,9066,0.674071872,0.325928128,0.184092367,0.141835761
16,Irving Park,53604,39475,14129,7221,6908,0.736418924,0.263581076,0.134710096,0.12887098
17,Dunning,43587,29980,13607,8093,5514,0.687819763,0.312180237,0.185674628,0.126505609
18,Montclare,14382,9421,4961,2230,2731,0.65505493,0.34494507,0.15505493,0.18989014
19,Belmont Cragin,78788,48325,30463,12006,18457,0.613354826,0.386645174,0.152383612,0.234261563
20,Hermosa,23163,14481,8682,3832,4850,0.625178086,0.374821914,0.165436256,0.209385658
