community_area_number,community_name,total_population,not_hs_grad,hs_grad,some_college,has_bachelors,not_hs_grad_percent,hs_grad_percent,some_college_percent,has_bachelors_percent,hs_grad_or_higher_percent
1,Rogers Park,38323,4480,6901,8859,18083,0.116901078,0.180074629,0.231166662,0.471857631,0.883
2,West Ridge,51975,9041,10150,11124,21660,0.173949014,0.195286195,0.214025974,0.416738817,0.826
3,Uptown,46702,4579,5830,9359,26934,0.098047193,0.124834054,0.20039827,0.576720483,0.902
4,Lincoln Square,31582,2026,3600,5119,20837,0.064150465,0.113988981,0.162085998,0.659774555,0.936
5,North Center,24984,854,1398,3330,19402,0.034181876,0.055955812,0.133285303,0.776577009,0.966
6,Lake View,76108,1391,3224,8615,62878,0.018276659,0.042360856,0.113194408,0.826168077,0.982
7,Lincoln Park,48540,952,2047,4137,41404,0.019612691,0.042171405,0.085228677,0.852987227,0.98
8,Near North Side,82762,1532,4152,8406,68672,0.018510911,0.050167951,0.101568353,0.829752785,0.981
9,Edison Park,8069,351,1715,2006,3997,0.043499814,0.212541827,0.248605775,0.495352584,0.957
10,Norwood Park,27892,2027,7448,6737,11680,0.072673168,0.267029973,0.241538792,0.418758067,0.927
11,Jefferson Park,19774,1460,4854,5456,8004,0.073834328,0.245473855,0.275917872,0.404773946,0.926
12,Forest Glen,14113,756,2128,2897,8332,0.053567633,0.150782966,0.205271735,0.590377666,0.946
13,North Park,12882,1678,2428,2794,5982,0.130259277,0.18848005,0.216891787,0.464368887,0.87
14,Albany Park,33532,6455,7887,5720,13470,0.192502684,0.235208159,0.170583323,0.401705833,0.807
15,Portage Park,44993,5812,11984,11646,15551,0.12917565,0.266352544,0.258840264,0.345631543,0.871
16,Irving Park,38537,5235,7811,8688,16803,0.135843475,0.202688326,0.225445676,0.436022524,0.864
17,Dunning,31739,3441,10094,9886,8318,0.108415514,0.318031444,0.311477992,0.26207505,0.892
18,Montclare,9802,2054,3170,2985,1593,0.209549072,0.323403387,0.304529688,0.162517853,0.79
