community_area_number,community_name,total_population,owner_occupied,renter_occupied,owner_percent,renter_percent
1,Rogers Park,24916,6518,18398,0.261598973,0.738401027
2,West Ridge,25869,12557,13312,0.485407244,0.514592756
3,Uptown,30970,9782,21188,0.315854052,0.684145948
4,Lincoln Square,18481,7106,11375,0.384503003,0.615496997
5,North Center,14237,8216,6021,0.57708787,0.42291213
6,Lake View,53490,20010,33480,0.374088615,0.625911385
7,Lincoln Park,32020,14515,17505,0.453310431,0.546689569
8,Near North Side,60580,24893,35687,0.410911192,0.589088808
9,Edison Park,4461,3636,825,0.815063887,0.184936113
10,Norwood Park,14769,11141,3628,0.754350328,0.245649672
11,Jefferson Park,10521,6908,3613,0.656591579,0.343408421
12,Forest Glen,7082,6499,583,0.917678622,0.082321378
13,North Park,6728,3348,3380,0.497621879,0.502378121
14,Albany Park,16782,6892,9890,0.410678107,0.589321893
15,Portage Park,22569,13426,9143,0.594886792,0.405113208
16,Irving Park,20916,10653,10263,0.509323006,0.490676994
17,Dunning,15886,12265,3621,0.772063452,0.227936548
18,Montclare,4612,2783,1829,0.603425846,0.396574154
19,Belmont Cragin,22723,12107,10616,0.532808168,0.467191832
20,Hermosa,7178,3634,3544,0.506269156,0.493730844
21,Avondale,13735,5831,7904,0.424535857,0.575464143
22,Logan Square,31191,11650,19541,0.373505178,0.626494822
23,Humboldt Park,17767,6673,11094,0.375583948,0.624416052
24,West Town,36782,14852,21930,0.40378446,0.59621554
25,Austin,33461,13972,19489,0.417560742,0.582439258
26,West Garfield Park,5473,1460,4013,0.266764115,0.733235885
27,East Garfield Park,6855,1630,5225,0.23778264,0.76221736
28,Near West Side,29519,10768,18751,0.364782005,0.635217995
29,North Lawndale,11332,2810,8522,0.247970349,0.752029651
30,South Lawndale,18717,7401,11316,0.395415932,0.604584068
31,Lower West Side,12632,3946,8686,0.312381254,0.687618746
32,Loop,20967,7423,13544,0.354032527,0.645967473
33,Near South Side,15570,8848,6722,0.568272319,0.431727681
34,Armour Square,5454,2106,3348,0.386138614,0.613861386
35,Douglas,10140,1783,8357,0.175838264,0.824161736
36,Oakland,3144,768,2376,0.244274809,0.755725191
37,Fuller Park,1133,236,897,0.208296558,0.791703442
38,Grand Boulevard,11205,3068,8137,0.273806336,0.726193664
39,Kenwood,9834,3450,6384,0.350823673,0.649176327
40,Washington Park,4695,622,4073,0.132481363,0.867518637
41,Hyde Park,13676,4761,8915,0.348128108,0.651871892
42,Woodlawn,10985,2707,8278,0.246426946,0.753573054
43,South Shore,23023,5446,17577,0.236546063,0.763453937
44,Chatham,14368,5777,8591,0.402074053,0.597925947
45,Avalon Park,4069,2715,1354,0.667240108,0.332759892
46,South Chicago,10876,4372,6504,0.401986024,0.598013976
47,Burnside,992,552,440,0.556451613,0.443548387
48,Calumet Heights,5456,3948,1508,0.723607038,0.276392962
49,Roseland,13737,7261,6476,0.528572469,0.471427531
50,Pullman,3317,1658,1659,0.499849261,0.500150739
51,South Deering,5385,2762,2623,0.512906221,0.487093779
52,East Side,6981,4938,2043,0.707348517,0.292651483
53,West Pullman,9063,5698,3365,0.62871014,0.37128986
54,Riverdale,2757,232,2525,0.084149438,0.915850562
55,Hegewisch,3507,2647,860,0.754776162,0.245223838
56,Garfield Ridge,12340,10475,1865,0.848865478,0.151134522
57,Archer Heights,4132,2659,1473,0.643514037,0.356485963
58,Brighton Park,12320,6170,6150,0.500811688,0.499188312
59,McKinley Park,5366,3523,1843,0.656541185,0.343458815
60,Bridgeport,12906,6318,6588,0.489539749,0.510460251
61,New City,13294,4524,8770,0.340303896,0.659696104
62,West Elsdon,5401,3797,1604,0.70301796,0.29698204
63,Gage Park,9775,5249,4526,0.536982097,0.463017903
64,Clearing,8654,5995,2659,0.69274324,0.30725676
65,West Lawn,9176,6297,2879,0.686246731,0.313753269
66,Chicago Lawn,16645,7207,9438,0.432982878,0.567017122
67,West Englewood,9449,4259,5190,0.450735528,0.549264472
68,Englewood,9166,2195,6971,0.239471962,0.760528038
69,Greater Grand Crossing,12260,4067,8193,0.331729201,0.668270799
70,Ashburn,12939,10964,1975,0.847360692,0.152639308
71,Auburn Gresham,17253,7821,9432,0.453312467,0.546687533
72,Beverly,7390,6232,1158,0.843301759,0.156698241
73,Washington Heights,9331,6519,2812,0.698638945,0.301361055
74,Mount Greenwood,6945,5744,1201,0.827069834,0.172930166
75,Morgan Park,8020,5645,2375,0.703865337,0.296134663
76,O'Hare,6460,2471,3989,0.38250774,0.61749226
77,Edgewater,28890,10244,18646,0.354586362,0.645413638
