community_area_number,community_name,total_population,median_household_income,low_income,middle_income,high_income,below_10_income,10_to_15_income,15_to_20_income,20_to_25_income,25_to_30_income,30_to_35_income,35_to_40_income,40_to_45_income,45_to_50_income,50_to_60_income,60_to_75_income,75_to_100_income,100_to_125_income,125_to_150_income,150_to_200_income,above_200_income,low_income_percent,middle_income_percent,high_income_percent,below_10_income_percent,10_to_15_income_percent,15_to_20_income_percent,20_to_25_income_percent,25_to_30_income_percent,30_to_35_income_percent,35_to_40_income_percent,40_to_45_income_percent,45_to_50_income_percent,50_to_60_income_percent,60_to_75_income_percent,75_to_100_income_percent,100_to_125_income_percent,125_to_150_income_percent,150_to_200_income_percent,above_200_income_percent
1,Rogers Park,24916,46164,10925,11113,2878,2652,1836,1097,1434,1086,1449,1371,1322,848,1958,2106,3088,1791,1022,1012,844,0.43847327,0.446018623,0.115508107,0.10643763,0.07368759,0.044027934,0.057553379,0.04358645,0.058155402,0.055024884,0.053058276,0.034034355,0.078584042,0.084524001,0.123936426,0.071881522,0.04101782,0.040616471,0.033873816
2,West Ridge,25869,57621,8498,12503,4868,1447,1039,1200,1189,1152,1310,1161,1315,1134,2504,2500,3021,2029,1457,1639,1772,0.328501295,0.483319804,0.188178901,0.055935676,0.040163903,0.046387568,0.045962349,0.044532065,0.050639762,0.044879972,0.050833043,0.043836252,0.096795392,0.096640767,0.116780703,0.078433646,0.056322239,0.063357687,0.068498976
3,Uptown,30970,57576,11102,13694,6174,3200,1838,1286,1186,1380,1055,1157,1117,1198,2625,2809,3677,2268,1874,2184,2116,0.358475944,0.442169842,0.199354214,0.103325799,0.059347756,0.041524056,0.038295124,0.044559251,0.034065224,0.037358734,0.036067162,0.038682596,0.084759445,0.090700678,0.118727801,0.07323216,0.060510171,0.070519858,0.068324185
4,Lincoln Square,18481,79696,4218,8901,5362,768,329,417,517,883,660,644,754,842,1129,1712,2481,1983,1707,1476,2179,0.228234403,0.481629782,0.290135815,0.041556193,0.017802067,0.022563714,0.027974677,0.0477788,0.035712353,0.034846599,0.040798658,0.045560305,0.061089768,0.09263568,0.134245982,0.107299389,0.092365132,0.079865808,0.117904875
5,North Center,14237,132628,1926,4837,7474,323,215,163,373,191,198,463,167,144,472,833,1708,1513,1041,1938,4495,0.135281309,0.339748543,0.524970148,0.022687364,0.015101496,0.011449041,0.02619934,0.013415748,0.013907424,0.032520896,0.011729999,0.01011449,0.033153052,0.058509517,0.119969095,0.106272389,0.073119337,0.136124183,0.315726628
6,Lake View,53490,90401,9526,24781,19183,2397,1234,1078,986,1161,1389,1281,2080,1507,3664,5196,7042,5292,4033,5050,10100,0.178089362,0.463282857,0.358627781,0.044812114,0.023069733,0.0201533,0.018433352,0.021704992,0.025967471,0.023948402,0.038885773,0.02817349,0.068498785,0.097139652,0.131650776,0.09893438,0.075397271,0.09441017,0.18882034
7,Lincoln Park,32020,115907,5558,11418,15044,2136,821,341,590,675,564,431,538,641,1201,2139,3862,3037,2434,3643,8967,0.173579013,0.356589631,0.469831355,0.066708307,0.025640225,0.010649594,0.018425984,0.021080575,0.017613991,0.013460337,0.016801999,0.020018738,0.037507808,0.066801999,0.120612117,0.094846971,0.076014991,0.113772642,0.280043723
8,Near North Side,60580,108578,11207,22467,26906,4293,1428,904,1303,911,1342,1026,1042,1065,2650,4879,7276,5555,4142,7081,15683,0.184995048,0.370864972,0.44413998,0.070864972,0.023572136,0.014922417,0.021508749,0.015037966,0.022152526,0.016936283,0.017200396,0.017580059,0.04374381,0.080538131,0.120105645,0.09169693,0.0683724,0.116886761,0.258880819
9,Edison Park,4461,112545,723,1738,2000,139,72,212,52,101,109,38,150,50,124,280,612,522,365,614,1021,0.162071284,0.389598745,0.448329971,0.031158933,0.016139879,0.047522977,0.011656579,0.022640664,0.024433983,0.008518269,0.033624748,0.011208249,0.027796458,0.062766196,0.137188971,0.117014122,0.08182022,0.137637301,0.22887245
10,Norwood Park,14769,88578,3350,6421,4998,605,539,567,308,450,298,583,417,290,839,1269,1998,1608,1434,2016,1548,0.226826461,0.434762001,0.338411538,0.040964182,0.036495362,0.038391225,0.020854493,0.030469226,0.020177399,0.039474575,0.028234816,0.019635723,0.056808179,0.085923218,0.135283364,0.108876701,0.097095267,0.136502133,0.104814138
