community_area_number,community_name,total_population,asian,black,hispanic,white,other,asian_percent,black_percent,hispanic_percent,white_percent,other_percent
1,Rogers Park,"55,643","3,018","15,059","10,537","24,644","2,385",0.054238628,0.270636019,0.189367935,0.442894883,0.042862534
2,West Ridge,"78,763","16,556","9,166","15,514","33,123","4,404",0.210200221,0.11637444,0.196970659,0.420540101,0.055914579
3,Uptown,"59,453","6,173","10,752","8,911","31,611","2,006",0.103829916,0.180848738,0.149883101,0.531697307,0.033740938
4,Lincoln Square,"41,350","3,771","1,234","7,373","26,590","2,382",0.091197098,0.029842805,0.178307134,0.643047158,0.057605804
5,North Center,"36,142","2,156",923,"4,323","27,005","1,735",0.059653589,0.025538155,0.119611532,0.747191633,0.048005091
6,Lake View,"101,428","7,146","4,304","9,102","77,260","3,616",0.070453918,0.042434042,0.089738534,0.761722601,0.035650905
7,Lincoln Park,"69,568","5,084","2,636","4,349","55,637","1,862",0.073079577,0.037890984,0.062514374,0.799749885,0.026765179
8,Near North Side,"98,528","14,091","7,062","6,100","68,030","3,245",0.143015184,0.071675057,0.061911335,0.690463625,0.0329348
9,Edison Park,"11,002",282,46,"1,086","9,101",487,0.025631703,0.004181058,0.098709326,0.827213234,0.044264679
10,Norwood Park,"38,088","1,674",249,"5,887","29,301",977,0.043950851,0.006537492,0.154563117,0.769297417,0.025651124
11,Jefferson Park,"27,194","3,151",714,"6,626","15,831",872,0.115871148,0.026255792,0.243656689,0.582150474,0.032065897
12,Forest Glen,"19,928","2,038",111,"2,627","14,719",433,0.102268165,0.005570052,0.131824568,0.738608992,0.021728222
13,North Park,"18,806","4,939",421,"3,522","9,167",757,0.262628948,0.022386472,0.187280655,0.487450814,0.040253111
14,Albany Park,"49,280","6,179","2,520","22,673","16,577","1,331",0.125385552,0.051136364,0.460085227,0.336383929,0.027008929
15,Portage Park,"63,919","3,799","1,048","27,173","30,042","1,857",0.059434597,0.016395751,0.425116163,0.470001095,0.029052394
16,Irving Park,"53,604","4,602","1,466","22,062","23,585","1,889",0.085851802,0.027348705,0.411573763,0.439985822,0.035239907
17,Dunning,"43,587","2,207",909,"14,005","26,028",438,0.050634363,0.020854842,0.3213114,0.597150527,0.010048868
18,Montclare,"14,382",365,448,"8,003","5,207",359,0.025378946,0.031150049,0.556459463,0.362049784,0.024961758
19,Belmont Cragin,"78,788","1,734","1,926","62,943","11,272",913,0.022008428,0.024445347,0.798890694,0.143067472,0.011588059
20,Hermosa,"23,163",534,"1,046","19,116","2,291",176,0.023054009,0.045158226,0.825281699,0.098907741,0.007598325
21,Avondale,"37,360","1,670",806,"20,145","13,301","1,438",0.044700214,0.021573876,0.539213062,0.356022484,0.038490364
22,Logan Square,"72,305","3,048","3,233","26,061","37,608","2,355",0.042154761,0.044713367,0.360431505,0.520130005,0.032570362
23,Humboldt Park,"54,401",288,"17,999","30,160","4,907","1,047",0.00529402,0.330857889,0.554401574,0.090200548,0.01924597
24,West Town,"80,383","4,326","4,817","17,308","50,467","3,465",0.053817349,0.059925606,0.21531916,0.627831755,0.043106129
25,Austin,"95,073",319,"71,951","16,210","5,024","1,569",0.003355316,0.756797408,0.170500563,0.052843604,0.016503108
26,West Garfield Park,"16,489",3,"15,238",574,456,218,0.000181939,0.924131239,0.034811086,0.0276548,0.013220935
27,East Garfield Park,"18,075",159,"15,340",863,"1,074",639,0.00879668,0.84868603,0.047745505,0.059419087,0.035352697
28,Near West Side,"62,816","11,625","15,213","6,275","27,402","2,301",0.185064315,0.24218352,0.099894931,0.436226439,0.036630795
29,North Lawndale,"31,310",69,"25,881","3,509","1,495",356,0.002203769,0.826604919,0.11207282,0.047748323,0.011370169
30,South Lawndale,"70,235",260,"9,103","56,749","3,884",239,0.003701858,0.129607745,0.807987471,0.055300064,0.003402862
31,Lower West Side,"32,672","1,476","1,020","22,308","7,275",593,0.045176298,0.031219393,0.682786484,0.222667728,0.018150098
32,Loop,"39,327","8,287","2,784","3,761","23,194","1,301",0.21072037,0.07079106,0.095634043,0.58977293,0.033081598
33,Near South Side,"26,376","5,030","5,932","1,104","13,556",754,0.19070367,0.224901426,0.041856233,0.513952078,0.028586594
34,Armour Square,"13,401","9,480","1,197",745,"1,863",116,0.707409895,0.089321692,0.055592866,0.139019476,0.00865607
35,Douglas,"21,450","3,121","13,964","1,152","2,270",943,0.145501166,0.651002331,0.053706294,0.105827506,0.043962704
36,Oakland,"6,973",114,"6,043",407,307,102,0.016348774,0.866628424,0.058367991,0.044026961,0.01462785
37,Fuller Park,"2,149",1,"1,920",130,67,31,0.000465333,0.893438809,0.060493253,0.031177292,0.014425314
