Date,"Weekly Chicago, IL Regular Reformulated Retail Gasoline Prices  (Dollars per Gallon)"
6/5/2000,1.949
6/12/2000,2.091
6/19/2000,2.108
6/26/2000,1.989
7/3/2000,1.786
7/10/2000,1.688
7/17/2000,1.576
7/24/2000,1.45
7/31/2000,1.352
8/7/2000,1.357
8/14/2000,1.327
8/21/2000,1.368
8/28/2000,1.406
9/4/2000,1.545
9/11/2000,1.533
9/18/2000,1.506
9/25/2000,1.496
10/2/2000,1.471
10/9/2000,1.443
10/16/2000,1.556
10/23/2000,1.515
10/30/2000,1.573
11/6/2000,1.546
11/13/2000,1.511
11/20/2000,1.543
11/27/2000,1.511
12/4/2000,1.484
12/11/2000,1.452
12/18/2000,1.421
12/25/2000,1.415
1/1/2001,1.487
1/8/2001,1.477
1/15/2001,1.569
1/22/2001,1.546
1/29/2001,1.541
2/5/2001,1.501
2/12/2001,1.525
2/19/2001,1.477
2/26/2001,1.426
3/5/2001,1.411
3/12/2001,1.374
3/19/2001,1.408
3/26/2001,1.357
4/2/2001,1.52
4/9/2001,1.644
4/16/2001,1.62
4/23/2001,1.853
4/30/2001,1.832
5/7/2001,1.973
5/14/2001,2.049
5/21/2001,1.978
5/28/2001,1.93
6/4/2001,1.893
6/11/2001,1.802
6/18/2001,1.699
6/25/2001,1.572
7/2/2001,1.438
7/9/2001,1.35
7/16/2001,1.305
7/23/2001,1.419
7/30/2001,1.37
8/6/2001,1.443
8/13/2001,1.523
8/20/2001,1.654
8/27/2001,1.785
9/3/2001,1.884
9/10/2001,1.834
9/17/2001,1.793
9/24/2001,1.736
10/1/2001,1.647
10/8/2001,1.517
10/15/2001,1.429
10/22/2001,1.325
10/29/2001,1.255
11/5/2001,1.205
11/12/2001,1.276
11/19/2001,1.24
11/26/2001,1.181
12/3/2001,1.186
12/10/2001,1.202
12/17/2001,1.106
12/24/2001,1.143
12/31/2001,1.203
1/7/2002,1.184
1/14/2002,1.099
1/21/2002,1.095
1/28/2002,1.098
2/4/2002,1.115
2/11/2002,1.094
2/18/2002,1.135
2/25/2002,1.134
3/4/2002,1.201
3/11/2002,1.28
3/18/2002,1.379
3/25/2002,1.487
4/1/2002,1.469
4/8/2002,1.57
4/15/2002,1.528
4/22/2002,1.495
4/29/2002,1.475
5/6/2002,1.499
5/13/2002,1.504
5/20/2002,1.6
5/27/2002,1.557
6/3/2002,1.58
6/10/2002,1.545
6/17/2002,1.505
6/24/2002,1.484
7/1/2002,1.473
7/8/2002,1.462
7/15/2002,1.488
7/22/2002,1.479
7/29/2002,1.543
8/5/2002,1.5
8/12/2002,1.466
8/19/2002,1.468
8/26/2002,1.512
9/2/2002,1.48
9/9/2002,1.514
9/16/2002,1.468
9/23/2002,1.511
9/30/2002,1.501
10/7/2002,1.575
10/14/2002,1.528
10/21/2002,1.594
10/28/2002,1.563
11/4/2002,1.548
11/11/2002,1.545
11/18/2002,1.468
11/25/2002,1.414
12/2/2002,1.381
12/9/2002,1.365
12/16/2002,1.381
12/23/2002,1.434
12/30/2002,1.502
1/6/2003,1.473
1/13/2003,1.504
1/20/2003,1.521
1/27/2003,1.518
2/3/2003,1.566
2/10/2003,1.633
2/17/2003,1.712
2/24/2003,1.721
3/3/2003,1.746
3/10/2003,1.785
3/17/2003,1.756
3/24/2003,1.691
3/31/2003,1.606
4/7/2003,1.584
4/14/2003,1.526
4/21/2003,1.559
4/28/2003,1.609
5/5/2003,1.516
5/12/2003,1.511
5/19/2003,1.566
5/26/2003,1.591
6/2/2003,1.556
6/9/2003,1.632
6/16/2003,1.637
6/23/2003,1.57
6/30/2003,1.53
7/7/2003,1.535
7/14/2003,1.576
7/21/2003,1.615
7/28/2003,1.545
8/4/2003,1.61
8/11/2003,1.63
8/18/2003,1.673
8/25/2003,1.837
9/1/2003,1.807
9/8/2003,1.811
9/15/2003,1.806
9/22/2003,1.724
9/29/2003,1.658
10/6/2003,1.645
10/13/2003,1.672
10/20/2003,1.665
10/27/2003,1.627
11/3/2003,1.667
11/10/2003,1.601
11/17/2003,1.566
11/24/2003,1.586
12/1/2003,1.553
12/8/2003,1.538
12/15/2003,1.538
12/22/2003,1.546
12/29/2003,1.519
1/5/2004,1.565
1/12/2004,1.615
1/19/2004,1.663
1/26/2004,1.713
2/2/2004,1.676
2/9/2004,1.72
2/16/2004,1.722
2/23/2004,1.737
3/1/2004,1.755
3/8/2004,1.773
3/15/2004,1.715
3/22/2004,1.758
3/29/2004,1.825
4/5/2004,1.842
4/12/2004,1.855
4/19/2004,1.888
4/26/2004,1.897
5/3/2004,1.954
5/10/2004,2.014
5/17/2004,2.149
5/24/2004,2.176
5/31/2004,2.136
6/7/2004,2.109
6/14/2004,2.027
6/21/2004,1.951
6/28/2004,1.936
7/5/2004,1.918
7/12/2004,1.945
7/19/2004,1.98
7/26/2004,1.937
8/2/2004,1.912
8/9/2004,1.932
8/16/2004,1.953
8/23/2004,1.957
8/30/2004,1.908
9/6/2004,1.868
9/13/2004,1.886
9/20/2004,1.92
9/27/2004,1.979
10/4/2004,1.972
10/11/2004,2.034
10/18/2004,2.083
10/25/2004,2.059
11/1/2004,2.091
11/8/2004,2.04
11/15/2004,1.983
11/22/2004,1.954
11/29/2004,1.975
12/6/2004,1.929
12/13/2004,1.829
12/20/2004,1.808
12/27/2004,1.768
1/3/2005,1.779
1/10/2005,1.844
1/17/2005,1.864
1/24/2005,1.886
1/31/2005,1.94
2/7/2005,1.936
2/14/2005,1.9
2/21/2005,1.907
2/28/2005,1.959
3/7/2005,2.078
3/14/2005,2.121
3/21/2005,2.193
3/28/2005,2.197
4/4/2005,2.278
4/11/2005,2.334
4/18/2005,2.27
4/25/2005,2.278
5/2/2005,2.264
5/9/2005,2.205
5/16/2005,2.204
5/23/2005,2.137
5/30/2005,2.106
6/6/2005,2.127
6/13/2005,2.147
6/20/2005,2.192
6/27/2005,2.297
7/4/2005,2.325
7/11/2005,2.424
7/18/2005,2.386
7/25/2005,2.365
8/1/2005,2.359
8/8/2005,2.464
8/15/2005,2.686
8/22/2005,2.786
8/29/2005,2.78
9/5/2005,3.074
9/12/2005,2.967
9/19/2005,2.808
9/26/2005,2.786
10/3/2005,2.912
10/10/2005,2.832
10/17/2005,2.739
10/24/2005,2.627
10/31/2005,2.54
11/7/2005,2.435
11/14/2005,2.335
11/21/2005,2.239
11/28/2005,2.181
12/5/2005,2.229
12/12/2005,2.24
12/19/2005,2.294
12/26/2005,2.304
1/2/2006,2.321
1/9/2006,2.401
1/16/2006,2.359
1/23/2006,2.351
1/30/2006,2.33
2/6/2006,2.333
2/13/2006,2.272
2/20/2006,2.243
2/27/2006,2.267
3/6/2006,2.458
3/13/2006,2.452
3/20/2006,2.553
3/27/2006,2.538
4/3/2006,2.666
4/10/2006,2.747
4/17/2006,2.85
4/24/2006,2.966
5/1/2006,2.942
5/8/2006,2.913
5/15/2006,2.986
5/22/2006,2.933
5/29/2006,2.927
6/5/2006,2.963
6/12/2006,2.983
6/19/2006,3.003
6/26/2006,3.055
7/3/2006,3.124
7/10/2006,3.198
7/17/2006,3.209
7/24/2006,3.196
