Community,community_baseline_value
1,1016
2,69
3,1465
4,602
5,428
6,5691
7,2115
8,1828
9,246
10,716
11,1206
12,504
13,1105
14,521
15,255
16,250
17,525
18,1005
19,1026
20,1494
21,204
22,504
23,819
24,1396
25,39
26,1024
27,1516
28,11070
29,899
30,470
31,852
32,2069
33,943
34,1521
35,609
36,781
37,1317
38,1149
39,1253
40,1576
41,865
42,1152
43,487
44,2357
45,1217
46,1179
47,770
48,1171
49,1566
50,1247
51,998
52,736
53,884
54,634
55,811
56,990
57,1867
58,1721
59,1328
60,1166
61,987
62,1391
63,531
64,799
65,1309
66,1333
67,686
68,1077
69,693
70,476
71,874
72,614
73,1314
74,122
75,959
76,147
77,928
