Community,zero_carryover,low_supply_flag_1,low_supply_flag_2,low_supply_flag_3,low_supply_flag_1_percent,low_supply_flag_2_percent,low_supply_flag_3_percent,demand_flag_1,demand_flag_2,demand_flag_3,demand_flag_4,demand_flag_5,demand_flag_1_percent,demand_flag_2_percent,demand_flag_3_percent,demand_flag_4_percent,demand_flag_5_percent,unmet_demand_flag
1,1,18,3,3,0.010005558643690939,0.0016675931072818232,0.0016675931072818232,0,4,0,0,0,0.0,0.0022234574763757642,0.0,0,0,3
2,0,16,4,4,0.009232544720138488,0.002308136180034622,0.002308136180034622,0,18,0,0,0,0.0,0.0103866128101558,0.0,0,0,0
3,0,18,2,2,0.009884678747940691,0.001098297638660077,0.001098297638660077,0,24,0,0,0,0.0,0.013179571663920923,0.0,0,0,0
4,0,150,2,2,0.08726003490401396,0.0011634671320535194,0.0011634671320535194,5,16,12,0,0,0.0029086678301337987,0.009307737056428156,0.006980802792321117,0,0,1
5,0,1027,3,3,0.5963995354239257,0.0017421602787456446,0.0017421602787456446,9,226,202,0,0,0.005226480836236934,0.13124274099883856,0.1173054587688734,0,0,0
6,0,19,4,4,0.01025364274150027,0.0021586616297895305,0.0021586616297895305,0,0,0,0,0,0.0,0.0,0.0,0,0,0
7,0,18,2,2,0.009809264305177113,0.0010899182561307902,0.0010899182561307902,0,0,0,0,0,0.0,0.0,0.0,0,0,1
8,0,19,2,2,0.0101931330472103,0.001072961373390558,0.001072961373390558,0,12,0,0,0,0.0,0.006437768240343348,0.0,0,0,0
9,1,86,4,4,0.3282442748091603,0.015267175572519083,0.015267175572519083,0,4,16,0,0,0.0,0.015267175572519083,0.061068702290076333,0,0,3
10,1,139,7,6,0.16087962962962962,0.008101851851851851,0.006944444444444444,0,10,2,0,0,0.0,0.011574074074074073,0.0023148148148148147,0,0,3
11,0,285,7,5,0.24193548387096775,0.005942275042444821,0.004244482173174873,0,86,70,0,0,0.0,0.0730050933786078,0.059422750424448216,0,0,2
12,1,56,2,2,0.12727272727272726,0.004545454545454545,0.004545454545454545,0,6,5,0,0,0.0,0.013636363636363636,0.011363636363636364,0,0,3
13,1,140,4,4,0.11119936457505956,0.003177124702144559,0.003177124702144559,4,44,24,0,0,0.003177124702144559,0.03494837172359015,0.019062748212867357,0,0,4
